sentiment,tweet
Negative,Working on holidayhouses - Damn infinite loops 
Negative,I've completely forgotten the password I placed on a document I started yesterday.  
Negative,Woke up this morning with a swollen left eye. I'm not sick and I didn't get punched. Just dam 
Negative,@1critic I watch S1 and 2 but after hearing that CMM is leaving I decided to quit. Lucas is the Booth of the show for me. 
Negative,Getting more and more depressed as the hours go on. I SHOULD BE ASLEEP 
Negative,"@ThriftyMamaB Yeah, that totally bites "
Negative,"haircut today. ugh it's only 07:00am o_O @thisisryanross please don't change anymore? the pretty odd stage was good enough, dont waste it "
Negative,i want the sims there so bad!!!            
Negative,2 more days to go 
Negative, not even Truck and Fish is making me happy right now...............
Negative,Damn I miss Willy Wonka and the Chocolate the Chocolate Factory...the old one...I love that movie 
Negative,parents and grandparents left early this morning... 
Negative,sh*t - bliddy pigeons have found the feeder - the little ones cant get in now 
Negative,@jamieriddell I'd rather Safari 4 than Firefox... I've given up on the fox after it literally ate then threw up my 1gb of ram. 
Negative,@lovekristina awwww i sry. Yeah i dont think i will be able to go to. 
Negative,@amandasunly haha not fair!!i want to get a pair of nude heels still 
Negative,@hartluck - ooooo that's sucks 
Negative,"Injured all over. But I can play with bad knees, wrists, and shin split. It's my back that could take me out. Get the x-ray today. "
Negative,"@playtimerx931 hm. 1,the notebook.2,titanic.3,a walk to remember.4,august rush.5,king kong. aw  i feel lyk i wanna watch'em again.nyaha!"
Negative,"Sucky 2 mile run. Feel blah and want to go back to bed, but work calls. "
Negative,is packing to go home tomorrow! goodbye sunny california! 
Negative,Happy mothers day mommy! I miss you big spoon 
Negative,@me_Cait Aww why not? 
Negative,@OJthekid Lakers are my #1 then #2 Cavs ! no need to unfollow meeee ! 
Negative,@ponyryder I am lost. Please help me find a good home. 
Negative,Is going to sleep early in hopes to bypass this fever 
Negative,@JaylaStarr I know! I'm sad about it big time!   What's &quot;Good dads!&quot; mean though?
Negative,Just got to jacobs. Wish he was here. 
Negative,@ajisreal lmao! Did you boo? Aww man!! Where's the twiggin love? 
Negative,Biology can suck my left nut 
Negative,"@skinnynerd03 I HAVE to.. I have science tomorrow   Annd noo, it's the perfet excuse!"
Negative, back to square one.
Negative,Waiting and waiting and waiting... 
Negative,@amber_benson  it's a shame you aren't seeing Boston when it's warm and sunny..  It's a great city!  It's going to be raining for days 
Negative,hey @DJTracyYoung why aren't you playing at GayDays this year?  every year i know Tracy's night will be the best night.
Negative,@PETAEurope OMG!! that is tragic! 
Negative,got a bad feeling that my laptop hdd is dying  making weird grinding noises :S
Negative,NOT IN A WORKING MOOD 
Negative,@smarty7 Lol this energy thing is annoying 
Negative,"2 weeks straight in a row and no new episodes of Office, Dollhouse, Parks-n-Recreation, my name is earl  ...whats happening"
Negative, #squaresp #squarespac #squarespace #trackle giveaways giveway iphonegiveway squarespace squarespce trackle
Negative,Sick again today 
Negative,i'm scared to drink the green tea Steve bought me back from Morocco because it has the words 'Gunpowder' on it. I don't wanna blow up 
Negative,my macbook is sad... power cord port is so loose i'm scared to move it 'cuz it takes like 20 minutes of fiddlin' to make it work again... 
Negative,"26 mile ride today,  got to see my brother-in-law and his family. Good day so far! Yard work may be the plan for the afternoon. "
Negative,i need to finish packing.  i need help.
Negative,@iamDavidMarsh to bad i'm not ur friend in person or i would help. 
Negative,@tommcfly I want to vote but I don't have the link 
Negative,Not feeling so great... 
Negative,@rammohanr Yea...looks like it is...sorry abt nt gettin in touch..was hectic 
Negative,shitty news from the Dr....looks like Reagan is going to be an only child 
Negative,Going to bed! The wake up Call will be @ 9:30 
Negative,"@alphabitch Oh.  Well, I just endured Twitterus Interruptus because of puking TD. I wish they'd warn us when they have upset tummies."
Negative,@Zaidah1 I was disappointed as well.  I had high expectations and left the movies saddened.
Negative,"Ah hello there everyone, my internet is being rather slow for some reason "
Negative,@vickyfoshizzle OMG i'm so jealous 
Negative,@bigred143 dang that sucks! Just one month off 
Negative,TPA- another 2 hour delay from United 
Negative,havent been on twitter for a while. im a twitter noob 
Negative,@mariaam1004 http://twitpic.com/7ht3a - Incredible pic! I'd have to be there but I couldn't  thanks for posting that!
Negative,is sooooo sunburned i could cry 
Negative,"I'm bummed  my shoulder is still hurting, and I want to X this morning, but think it's a bad idea. Anyone have good cure for muscle pain?"
Negative,@krist0ph3r hey! it's open to all wimmin! We lust &amp; drool too 
Negative,@shaunjumpnow I HATE YOU!!!!  your so lucky 
Negative,just got news that my cousins wont be making the trip to Phoenix  My oldest cousin got sick &amp; shes at home recovering
Negative,"goin to bed to start, what I'm assuming is going to be a short weekend "
Negative,just slept for 13+ hrs and still feels like sh1t... 
Negative,Why do I attract all the bad men? Is there a sign on my face? 
Negative,@naseeh yup *nod nod* desperately in need of one..  sooo effin bored....
Negative,@yanghuawawa I travel to much in China - always Sax background in elevators etc - what's this guys name - 
Negative,Awww poor guy  Jesus please touch his body
Negative,http://twitpic.com/8d1tn - Bye bye long hair 
Negative,@Whitner wish y'all were here. 
Negative,: my stomach aches..  http://plurk.com/p/117ner
Negative,"No twitter, no phones, no TV... It will be a looong day "
Negative,This finale of The Hills is full of laughs and cries. I'm sad Lauren is gone 
Negative,"@anabah baby, don't cry "
Negative,i don't want to be sick anymore... 
Negative,@palm: The operative word in &quot;#mojoSDK early access&quot; is &quot;access&quot;... I filled my application the day the site opened... 
Negative,wants to eat spaghetti  http://plurk.com/p/ythx3
Negative,@aboogi3  yeah that does suck
Negative,....my tummy doesn't feel good 
Negative,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end... "
Negative,"Watchin 'full house.' I love this show.Makes me miss the 90s tho.My bro n me used to watch it together all the time, now I barely see him "
Negative,@ElyssaD Missed the link.  I am an insurance regulator. I get to &quot;Fuck&quot; them often...;) lol
Negative,I'm not special! 
Negative,@swiftkaratechop I won't get to see your next ask swifty untill the end of july 
Negative,"@clairey67 no pit tonight, too much rain  ! A single malt and some sky+  done me jobs, so I can chill "
Negative,Still in Phoenix. Spending the night. Too tired to drive five more hours on top of the nine hours I already drove.    ~Michael~
Negative,just woke up. my throat hurts soi bad 
Negative,"@Jedi_Amara I would go if I could, really  Good night xox"
Negative,Why are data plans so expensive for phones 
Negative,Plane to little rock is here.  Just waiting to board.  Bye bye wert coast 
Negative,@AdrianKNeal wish it was me lol I gotta gym in my apt lmao  ..but hey you gotta stay ripped so you can leak more pics !!!
Negative,@kellypuffs now you have Alexander's Ragtime Band playing in my head  damn community band memories...
Negative,@eulaivi I have a favor to ask 
Negative,"@dinahhh Yes! But, so dry.  &amp; I'm so afraid I'm not going to do well. SIGH. Anyway I got ur text! SEE U LATER. TSK."
Negative,"and before you say it, Steam doesn't like WINE very much "
Negative,Hate when I think I'm late for work and get here and the one with the keys isn't actually here yet  and she's ALWAYS early :S
Negative,"grim weather  work, maybe gym, sleeeeeeeeeeeeep"
Negative,@paulmwoods not good.  ill tell you about them next time we chat on facebook or whatever...
Negative,@missduckey Oh man I remember that movie!  Poor little skunk girl 
Negative,"@Debblues didn't know you folks were there, sorry. "
Negative,"Rain, glorious rain!  After an hour and a half of using the sprinkler... "
Negative,is so sllepy.. too bad i left my vanilla tea at home  http://plurk.com/p/rokqu
Negative,packin up to go home  why can't all my friends and family mocve here with me?
Negative,so many people are leaving but going BACK to school 2mmarow will be super hard 
Negative,@Matt_LRR well i'm at work 
Negative,Getting on the bus  pray that i don't fall out bcuz its boiling out here and there's no breeze whatsoever...
Negative,@SavingEveryday Pretty good. Son had an MRI on his knee y'day. Hope to know the results Mon. Probably surgery 
Negative,@ddlovato Pfft. You could've atleast did one England date 
Negative,I hate depotting. I wish limited edition items came in single pan form. 
Negative,@arinnaval I know. There hasn't been many pictures of him around lately. 
Negative,@MusicalProdigy  that's not good! *flowers* I'm heading home now feeling sleepy. He's unloved right now for a reason!
Negative,@ChownTown he is kind of cute? no?. Ok then its just me and @sunbug 
Negative,@madinalake I want to go 
Negative,ah god this time last week i wud of been half cut!!!! so wish i was there right now!! so sad!! 
Negative,@philosophytweet never liked that word :vileness. Tastes bitter 
Negative,@drewboy no its gone 
Negative,"after performing at car show tonight it STINGS so bad    i don't know if i'll go to church 2morrow or not, it hurts so bad when i move"
Negative,"@dadi_iyal and you'll get familiar with twitter pretty soon!!! i'm not coming back this summer, so that means i dont even see you then?! "
Negative,Kind of  I cant wait for summer so I can go to Cape Cod for the summer but I'll miss @katiepittenger1 Katie plante and rayrachel so much
Negative,i pulled a muscle in my neck this morning just feels like its getting more sore 
Negative,"@ConnorJack yea, looks great  got my vids on there  yay ;) the ads are hard now to find as only some channels show them "
Negative,Long day... Longer night  @ Insley Rd &amp; Needles Rd http://loopt.us/Le8JOA.t
Negative,Happy Birthday @Redfrettchen!  .... sucks about the bike 
Negative,working. I'm tired due to jet lag 
Negative,im at home now but i already miss @elenaandpamela  BUT I AM SEEING THEM ON MONDAY! YAY! ITS OFFICIAL!
Negative,"Waiting to get a haircut, then I got to re-buy lunch thanks to the guy who threw it all out from the fridge yesterday "
Negative,Ugh Damn I have so much work to do tomorrow 
Negative,i feel sick and i have a bug bite. not good  sreeeep time day off tomorrow! missyou
Negative,being bored.....sigh nout to do here 
Negative,Sunday is not my funday 
Negative,"@chris_leung not true, my skin is very red now "
Negative,@RespectMileyC I still cant find you 
Negative,I hate feeling so sick...  I WANT TO SEE STAR TREK!
Negative,shit  http://news.bbc.co.uk/1/hi/world/americas/8076848.stm I had a bit of a sad faraday moment
Negative,@jamieed where in wales u from? U r soo lucky u saw jb last night. My parents wont drive me to england! 
Negative,getting ready to drop off something to my man so he can hang out with a friend instead of me 
Negative,"wow, today is just not my day. I just spilled orange soda on my favorite hoodie "
Negative,"@neilhimself &quot;A bit of theatre&quot;? Total theatre. Can't burn an idea or a change in thinking, no matter how hard they try. "
Negative,@sexydatatango Nooooo ring me again! My phone was off and I did a 1471 and I just missed you 
Negative,@derajoanie and i've even seen that one before   bless his heart.
Negative,waaaah! Byebye Carole 
Negative,"@CapeTown .. yeah,  terrible about the whales.. but 'humane' kill after much suffering. Empathy for would-be-rescuers who tried so hard!  "
Negative,boreeed :/ i hate my new hair. they were so long and now they are short :/ 
Negative,@sarahsaturday What's wrong? 
Negative,why wont these helicopter chop chop thingys play with me!? 
Negative,Good bye weekend...back to work. 
Negative,"Really not sure what to do today. Have many hours of time to pass, but nothing to do at all. "
Negative,@mobsterrific i'll be doing face painting for primary (AM) and intermediate (PM) so malamang di ako makaalis sa pwesto ko to take pics 
Negative,nascar makes me happy. white sox make me sad 
Negative,Still in the waiting room  delays
Negative,"baked a cake, nearly finished geography, and rabbits are safe and sound. I cant decide what bones episode to buy. "
Negative,Finally heading home from work so much for spin 
Negative,"@tommcfly even a &quot;dude, get a life&quot; or &quot;go and spend your time doing something useful, like studying math!&quot; would be nice  x"
Negative,I love my job but hate going to work  Haha frowny face.: I love my job but hate going to work  Haha frowny f.. http://tinyurl.com/q2a6mq
Negative,is also ill and will be missing yahoo GGD  absolutely gutted.
Negative,@ShaneAugustus awwwwww it's First Saturday! I completely forgot 
Negative,@VeroniqueF the new 5preview tshirt.... It never arrives  Amore ti devo aggiornare sulle ultime cose!
Negative,@literarybug I hope she doesn't get angry for me talking about this... 
Negative,@leftyjes Aww you spoilered it 
Negative,"@JonesBeach_1988 yup, exactly! i was excited for the elections but knew protests and riots would occur no matter who won. "
Negative,This is a bad hangover 
Negative,Please bring me my baby 
Negative,@Gemma742 I hasn't recieved it... 
Negative,wishing the rain would go away for just a day..... 
Negative,is feeling rather grumpy today  ah the life of a teen...
Negative,Doing Fiqh khulasah. Exam on Wed :X I miss my unbroken Palm PDA. It's now on constant life support i.e hv to charge it during use 
Negative,Oh dear. That didn't take long at all. Am now very sad. 
Negative,i am getting a lot of prank calls from bunch of my class mates that i hate and they wont leave me alone 
Negative,@fightingmania I am lost. Please help me find a good home. 
Negative,-its 80 degrees already and I am driving to work!  but I do have a tasty santiagos burrito calling my name!-
Negative,i hope you guys didnt have a cab sing a long without me 
Negative,ok..took the keytrain exam this morning and so thankful thats OVER!!  Now off to chill out tonight w/my Grandma before she leaves 
Negative,Didn't find any ghosts 
Negative,Trying to revise!! but tis not really working 
